model,task,sparsity,achieved_sparsity,accuracy,precision,recall,f1_score,memory_size_mb,nominal_bits,effective_bits,latency_ms,throughput_samples_per_sec
bert-base,sst2,0.95,0.9499999976615303,0.4908256880733945,0.24090985607272117,0.4908256880733945,0.32318983768525056,417.65528106689453,32,1.60000007483103,27.043188033288363,591.6462208636447
bert-base,sst2,0.99,0.9900000018707757,0.4908256880733945,0.24090985607272117,0.4908256880733945,0.32318983768525056,417.65528106689453,32,0.3199999401351761,26.476568966669827,604.307907876647
bert-base,qnli,0.0,,0.9183598755262676,0.9184356701387515,0.9183598755262676,0.9183622007742595,417.65528106689453,32,32.0,29.82585446667751,536.4473302139847
bert-base,qnli,0.1,0.10000000467693947,0.9176276771004942,0.9176677348223872,0.9176276771004942,0.9176299956481391,417.65528106689453,32,28.799999850337937,30.506022733334248,524.4865953147223
bert-base,qnli,0.2,0.19999999766153026,0.9152480322167308,0.9155524518026913,0.9152480322167308,0.915245612697492,417.65528106689453,32,25.60000007483103,31.103071466653397,514.4186488834106
bert-base,qnli,0.3,0.30000000233846974,0.9086582463847702,0.9096766018365202,0.9086582463847702,0.9086281184058577,417.65528106689453,32,22.39999992516897,29.39561216668759,544.2989215285643
bert-base,qnli,0.4,0.3999999953230605,0.8963939227530661,0.9016143089241675,0.8963939227530661,0.8961271287467527,417.65528106689453,32,19.200000149662063,28.472274533305608,561.9501870594816
bert-base,qnli,0.5,0.5,0.8050521691378364,0.8476053496375316,0.8050521691378364,0.7993592239501686,417.65528106689453,32,16.0,28.155644066646346,568.2697210593691
bert-base,qnli,0.6,0.6000000046769395,0.4964305326743548,0.7083602946161756,0.4964305326743548,0.33172086239069193,417.65528106689453,32,12.799999850337937,27.985052099999542,571.7337935561771
bert-base,qnli,0.7,0.6999999976615303,0.4946000366099213,0.2446291962145355,0.4946000366099213,0.3273507162082076,417.65528106689453,32,9.60000007483103,28.01964829999027,571.0278668988702
bert-base,qnli,0.8,0.8000000023384697,0.49441698700347797,0.4130490901495844,0.49441698700347797,0.3275943465122257,417.65528106689453,32,6.39999992516897,27.856511566672754,574.3719906099885
bert-base,qnli,0.9,0.8999999953230605,0.5053999633900788,0.2554291229946929,0.5053999633900788,0.33935051043774495,417.65528106689453,32,3.2000001496620634,27.53312799998942,581.118135215372
bert-base,qnli,0.95,0.9499999976615303,0.4946000366099213,0.2446291962145355,0.4946000366099213,0.3273507162082076,417.65528106689453,32,1.60000007483103,27.51566773331433,581.4868879459593
bert-base,qnli,0.99,0.9900000018707757,0.4946000366099213,0.2446291962145355,0.4946000366099213,0.3273507162082076,417.65528106689453,32,0.3199999401351761,27.3422098333261,585.1758178118571
